task,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
sst2,0.2495156377553939,0.9208715596330276,0.9208231087370572,2.6088,334.255,21.083,3.0
cola,0.4479144811630249,0.8024928092042186,0.8016153026969809,3.2727,318.696,20.167,3.0
